tag,label,sort_order,pinned,hidden
Dark Triad,Dark Triad / Tetrad / Machiavellianism,10,0,0
Big Five,,50,0,0
MBTI,MBTI / Myers-Briggs / Myers Briggs,60,0,0
HEXACO,,70,0,0
Sociosexuality,,80,0,0
Bisexuality,,90,0,0
High Sex Drive,High Sex Drive,95,0,0
Indian Psychology,Indian Psychology / Sattva AND Rajas AND Tamas / Vedic AND Psychology / Indian AND Psychology AND Personality / Triguna AND Personality / Pancha AND Kosha / Guna AND Personality / Atman AND Psychology,100,0,0
Experimental Philosophy,Experimental Philosophy / Philosophy of Mind / Metaphysics / Epistemology / Philosophy of Language / Philosophy of Religion,100,0,0
ADHD and Nicotine,ADHD and Nicotine,100,0,0
Followed Authors,Followed Authors / Rupert Sheldrake / Emil Kirkegaard,110,0,0
Big Ten,Big Ten / Industriousness / Industriousness AND Orderliness / Intellect AND Aesthetics / Intellect AND Openness / Withdrawal AND Volatility / Disagreeableness AND Agreeableness / Enthusiasm AND Assertiveness / Compassion AND Politeness,1000,0,0
Genetics,,1000,0,0
Attraction,,1000,0,0
Essential Oil,,1000,0,0
Intrasexual Competition (bullying),,1000,0,0
Intersexual Selection,,1000,0,0
Assortative Mating,,1000,0,0
Mate Choice,,1000,0,0
